Id,Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class
48,R. D. Burman,"Mehbooba Mehbooba - From “Sholay Songs And Dialogues, Vol. 2” Soundtrack",36.0,0.528,0.477,3.0,-10.454,1,0.0358,0.978,0.557,0.112,0.422,111.511,3.904,4,3
49,R.B James,Let Me Reach That Mountain,47.0,0.704,0.111,9.0,-19.914,0,0.0599,0.925,0.889,0.106,0.179,74.969,3.525,4,7
50,Swiss Portrait,Cassette,40.0,0.591,0.732,10.0,-8.522,1,0.0329,0.435,0.924,0.148,0.712,117.981,218450.0,4,6
51,The Wallflowers,One Headlight,71.0,0.701,0.539,2.0,-8.968,1,0.0277,0.000655,0.005,0.0589,0.752,107.531,312627.0,4,10
52,Hanan Ben Ari,◊ê◊ú◊ï◊£ ◊î◊¢◊ï◊ú◊ù,54.0,0.583,0.433,10.0,-8.309,0,0.0501,0.746,,0.133,0.22,127.513,215625.0,4,9
53,Black Mountain,Wucan,44.0,0.524,0.613,1.0,-10.025,1,0.0256,0.0135,0.653,0.086,0.443,102.399,362960.0,4,10
54,Limp Bizkit,Nookie,67.0,0.573,0.929,11.0,-5.996,1,0.082,0.00218,0.0723,0.718,0.284,97.57,289560.0,4,8
55,Garbage,#1 Crush,46.0,0.647,0.627,7.0,-7.156,0,0.0236,0.000119,0.0162,0.331,0.445,94.204,290507.0,4,10
56,The Cardigans,My Favourite Game,67.0,0.586,0.777,5.0,-6.185,0,0.0303,4.78e-05,0.00147,0.0729,0.424,143.339,220468.0,4,6
57,Polo G,RAPSTAR,89.0,0.789,0.536,6.0,-6.862,1,0.242,0.41,,0.129,0.437,81.039,2.76543333,4,9
58,Sarcastic Sounds,say goodbye,63.0,0.71,0.415,8.0,-9.561,1,0.0908,0.902,0.00236,0.149,0.418,92.016,86749.0,4,6
59,Evergrey,The Beholder,49.0,0.512,0.875,9.0,-7.07,0,0.046,0.00161,1.02e-05,0.0957,0.497,137.014,349747.0,4,8
60,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,92.0,0.586,0.616,5.0,-7.964,1,0.0324,0.182,,0.0927,0.719,148.088,4.03493333,4,9
61,Pit Pony,Dutch Courage,25.0,0.117,0.916,1.0,-3.281,1,0.0723,1.39e-05,0.0992,0.219,0.423,151.886,270205.0,4,1
62,Vertilizar,Nobody's Favorite,26.0,0.426,0.961,6.0,-2.859,1,0.066,7.66e-06,0.18,0.118,0.344,95.0,236000.0,4,8
63,The Blue Room Band,Emily,52.0,0.524,0.265,,-15.365,1,0.0282,0.933,0.886,0.186,0.218,106.487,4.8995,3,7
64,Fu Manchu,Eatin' Dust,48.0,0.292,0.927,7.0,-5.142,0,0.081,0.000126,0.0417,0.178,0.403,92.236,190800.0,4,10
65,Primal Scream,Gentle Tuesday,31.0,0.426,0.92,6.0,-5.503,1,0.0447,0.000114,0.00412,0.335,0.688,127.532,227120.0,4,1
66,Satish Vyas,Awakening The Soul 2,16.0,0.271,0.48,7.0,-13.697,0,0.0328,0.821,0.925,0.0841,0.57,105.868,1041200.0,3,6
67,The Receiving End Of Sirens,This Armistice,33.0,0.457,0.869,7.0,-6.663,1,0.0401,0.000496,0.000443,0.399,0.181,146.024,355640.0,4,10
68,Matt Schofield,Anything But Time,31.0,0.571,0.725,5.0,-5.628,0,0.0361,0.0134,0.00907,0.0897,0.722,122.999,218413.0,4,2
69,The Black Crowes,Sometimes Salvation,41.0,0.366,0.662,4.0,-4.914,1,0.034,0.00261,,0.0594,0.362,148.34,284000.0,3,10
70,Rosie Flores,Simple Case of the Blues,38.0,0.65,0.63,11.0,-6.787,0,0.04,0.278,8.55e-05,0.119,0.74,107.69,218747.0,4,2
71,Immortal,Blashyrkh - Mighty Ravendark,41.0,0.317,0.99,9.0,-6.162,1,0.154,0.0272,0.651,0.224,0.0336,137.196,273763.0,4,8
72,Asha Bhosle,Koi Mar Jaye - Deewaar / Soundtrack Version,9.0,0.502,0.922,5.0,-3.911,1,0.351,0.767,9.93e-06,0.239,0.741,129.215,5.60355,3,3
73,Make Them Suffer,Uncharted,42.0,0.493,0.907,,-4.058,1,0.0716,0.000133,0.00438,0.131,0.258,120.047,292501.0,4,8
74,"Manuel de Falla, Mischa Maisky, Pavel Gililov",7 Canciones populares españolas - Arranged by Mischa Maisky: No.5: Nana,,0.179,0.0119,9.0,-31.3,0,0.0472,0.993,0.9,0.0548,0.0475,90.397,3.00555,4,7
75,Walter Wolfman Washington,Steal Away,23.0,0.544,0.381,10.0,-11.48,0,0.0582,0.307,,0.104,0.4,146.731,254235.0,4,2
76,Lazy Lester,I Made up My Mind,32.0,0.632,0.554,7.0,-10.513,1,0.0455,0.535,0.131,0.7,0.706,131.462,263059.0,4,2
77,Wanderlust,Baile Amargo,29.0,0.299,0.941,,-7.28,1,0.0478,0.000554,0.0953,0.0519,0.674,130.036,174000.0,3,10
78,Bruce Springsteen,Dancing In the Dark,77.0,0.527,0.942,1.0,-5.64,0,0.0366,0.0115,,0.188,0.495,148.723,4.02178333,4,10
79,Spiritbox,Constance,58.0,0.338,0.673,6.0,-7.67,0,0.0459,0.00344,0.129,0.211,0.132,112.255,270416.0,4,8
80,Villagers,A Trick of the Light,61.0,0.563,0.606,11.0,-8.159,1,0.0267,0.513,0.0391,0.132,0.425,150.0,248253.0,4,1
81,Alma Zohar,Khulat Einaim,28.0,0.61,0.812,11.0,-5.289,0,0.0391,0.393,7.9e-05,0.344,0.586,94.026,202184.0,4,10
82,Itzhak Klepter,◊ì◊û◊ô◊ï◊ü ◊ó◊ï◊§◊©◊ô,36.0,0.602,0.81,4.0,-7.877,0,0.0346,0.311,0.0108,0.276,0.636,138.722,273053.0,4,10
83,Blues Pills,Black Smoke,36.0,0.234,0.938,11.0,-2.49,0,0.116,0.00455,8.88e-05,0.225,0.52,176.989,278468.0,4,10
84,The Specials,Ghost Town,61.0,0.665,0.766,10.0,-9.454,0,0.0505,0.0492,0.338,0.113,0.905,73.683,219307.0,4,6
85,Charlie Hunter,Two For Bleu,36.0,0.603,0.57,2.0,-12.545,1,0.0512,0.265,0.827,0.0813,0.483,116.322,339333.0,4,10
86,Pomegranate Tiger,Stomp the Haunted Crown,31.0,0.554,0.918,8.0,-6.172,0,0.107,2.86e-05,0.704,0.551,0.27,120.05,356160.0,4,8
87,The Struts,Body Talks,57.0,0.537,0.92,10.0,-3.438,0,0.274,0.00592,,0.34,0.843,185.703,177160.0,4,10
88,Testament,Night of the Witch,49.0,0.437,0.995,11.0,-4.997,1,0.142,7.83e-06,0.165,0.316,0.038,118.049,392067.0,4,8
89,YBN Nahmir,Opp Stoppa (feat. Lil Eazzyy),57.0,0.836,0.367,7.0,-4.267,1,0.126,0.0297,,0.151,0.212,78.009,135421.0,4,5
90,Understand It,The Franklin Electric,42.0,0.479,0.58,2.0,-8.793,1,0.0403,0.603,1.62e-05,0.0745,0.384,95.994,3.670216667,4,0
91,Filthy Gears,Magneto,18.0,0.76,0.532,9.0,-9.246,1,0.0427,0.0112,0.715,0.119,0.139,140.079,197221.0,4,5
92,Bush,Mad Love,36.0,0.366,0.726,4.0,-4.479,1,0.0332,0.000988,0.000108,0.097,0.246,137.124,238826.0,4,10
93,Eden Ben Zaken,◊™◊®◊ô◊û◊ï,31.0,0.816,0.891,11.0,-2.084,0,0.0605,0.154,0.000217,0.378,0.412,124.998,169921.0,4,9
94,Alfie Templeman,Shady,44.0,0.789,0.743,6.0,-6.113,0,0.0861,0.0234,0.015,0.489,0.629,109.987,175205.0,4,6
95,Lords Of The New Church,Dance With Me,38.0,0.528,0.921,6.0,-5.838,0,0.0693,0.000959,0.258,0.13,0.768,134.517,205693.0,4,10
96,Long Beach Dub Allstars,Owens Brothers,46.0,0.621,0.897,7.0,-8.113,0,0.0317,0.135,0.00239,0.208,0.906,162.127,195253.0,4,10
97,Nick Cave & The Bad Seeds,Deanna,41.0,0.415,0.94,,-4.874,1,0.0889,0.0049,,0.144,0.439,134.392,225627.0,4,6
98,Menta,Ocho Domingos,29.0,0.447,0.81,2.0,-4.246,1,0.0379,0.000376,2.42e-05,0.184,0.326,155.921,154761.0,4,6
99,Oakwood Station,From This Day Until Forever,44.0,0.401,0.173,5.0,-14.466,1,0.0418,0.973,0.00948,0.137,0.149,79.643,3.862716667,4,7
100,Sara Evans,A Little Bit Stronger,62.0,0.536,0.65,2.0,-5.603,1,0.0337,0.282,1.16e-06,0.0876,0.288,147.93,5.033116667,4,4
101,Junge Junge,I Don't Love You (I'm Just Lonely) - Acoustic,50.0,0.818,0.456,,-7.419,1,0.038,0.823,7.35e-05,0.127,0.784,113.992,3.06205,4,0
102,Disturbed,The Sound of Silence,73.0,0.322,0.28,6.0,-9.367,0,0.0281,0.468,1.1e-06,0.102,0.175,85.794,248467.0,4,8
103,Dio,Holy Diver,66.0,0.473,0.783,10.0,-10.671,0,0.0869,0.0125,0.475,0.268,0.124,91.976,340640.0,4,8
104,"Julian Arcas, Andrea González Caballero",Bolero in A Minor,41.0,0.323,0.0315,9.0,-30.707,0,0.0384,0.993,0.917,0.11,0.352,83.099,2.274666667,3,7
105,Foo Fighters,Walk,69.0,0.234,0.865,9.0,-5.131,1,0.0516,3.62e-05,0.000532,0.289,0.194,137.107,255960.0,4,10
106,"Toumani Diabaté, Sidiki Diabaté",Lampedusa,38.0,0.66,0.154,5.0,-16.855,1,0.0429,0.935,0.823,0.0892,0.128,96.226,4.434333333,4,7
107,NUMI,◊ú◊ê ◊ë◊û◊ß◊®◊î,8.0,0.863,0.446,7.0,-12.644,1,0.281,0.486,,0.0931,0.243,117.919,201356.0,4,5
108,LOONY,royal flush,47.0,0.846,0.451,7.0,-4.168,1,0.124,0.263,1.74e-06,0.12,0.63,85.942,146305.0,4,1
109,Wynton Kelly,Kelly Blue,32.0,0.588,0.223,5.0,-16.551,0,0.0487,0.776,0.000631,0.106,0.412,126.747,650467.0,4,2
110,Gerry Rafferty,Baker Street,69.0,0.497,0.349,7.0,-14.0,1,0.0297,0.0929,0.028,0.259,0.421,113.762,365627.0,4,10
111,Aaron Goldberg,Perhaps,,0.471,0.34,,-18.042,1,0.0405,0.672,0.753,0.12,0.46,99.424,5.290666667,3,7
112,L7,Fake Friends (feat. Joan Jett),36.0,0.393,0.878,9.0,-2.553,1,0.0908,0.00316,3.72e-05,0.298,0.4,142.997,188880.0,4,10
113,The Physics House Band,Teratology,37.0,0.327,0.881,8.0,-7.981,0,0.047,0.00279,0.788,0.224,0.221,100.922,385360.0,4,10
114,Bare King,Grim Sleep,22.0,0.279,0.975,7.0,-7.294,1,0.124,8.83e-05,0.0603,0.333,0.0447,144.943,204629.0,4,8
115,Chris Lane,"Big, Big Plans",71.0,0.574,0.58,7.0,-6.091,1,0.0278,0.076,,0.12,0.4,149.974,3.121783333,4,4
116,"Asha Bhosle, Mohammed Rafi","Uden Jab Jab Zulfen Teri, Pt. 1",18.0,0.559,0.551,6.0,-10.307,1,0.0731,0.745,0.858,0.0878,0.909,137.15,4.951133333,4,3
117,Yoav Itzhak,◊§◊†◊ô ◊û◊ú◊ê◊ö,30.0,0.614,0.836,4.0,-8.647,0,0.0338,0.0685,0.00104,0.0214,0.81,97.992,231133.0,4,9
118,Foals,My Number,68.0,0.639,0.715,6.0,-8.954,0,0.0392,0.0243,0.000552,0.619,0.813,128.072,238853.0,4,6
119,Keane,Fly To Me,43.0,0.417,0.497,7.0,-7.812,1,0.0325,0.0097,0.00021,0.126,0.0698,119.867,332973.0,4,10
120,Biig Piig,Oh No,60.0,0.697,0.41,7.0,-9.149,1,0.144,0.412,0.79,0.111,0.377,166.133,164947.0,4,1
121,Tall Juan,Atlantico,27.0,0.6,0.51,9.0,-8.318,1,0.0446,0.16,0.000314,0.424,0.512,120.4,190297.0,4,1
122,Haunted Shores,Harrison Fjord,34.0,0.44,0.984,5.0,-6.091,1,0.112,2.84e-06,0.93,0.156,0.0382,104.979,311986.0,4,8
123,Aukai,Akal Ki,40.0,0.652,0.515,11.0,-12.034,0,0.0324,0.239,0.751,0.0991,0.203,134.969,244000.0,1,1
124,Axty,What I've Become,39.0,0.492,0.954,8.0,-3.757,0,0.106,0.000333,,0.338,0.184,127.988,264375.0,4,10
125,Enslaved,Loke,30.0,0.189,0.995,11.0,-7.07,1,0.116,2.86e-06,0.88,0.771,0.0336,81.58,261920.0,4,8
126,Great Grandpa,Bloom,37.0,0.236,0.485,10.0,-8.975,1,0.0288,0.234,0.071,0.11,0.123,97.577,262200.0,4,1
127,Richie Kotzen,The Damned,39.0,0.479,0.939,11.0,-3.826,0,0.059,0.0417,3.66e-06,0.323,0.547,93.047,279086.0,4,2
128,Armor For Sleep,Car Underwater,52.0,0.435,0.774,2.0,-5.052,1,0.0631,0.014,,0.127,0.448,147.466,228707.0,4,10
129,Jake Bugg,Lightning Bolt,62.0,0.551,0.839,9.0,-4.555,1,0.0787,0.0818,,0.151,0.681,116.051,144013.0,4,6
130,Calum Scott,Dancing On My Own,82.0,0.681,0.174,1.0,-8.745,1,0.0315,0.837,3.35e-05,0.0983,0.231,112.672,260285.0,4,9
131,Amanar,Alghafiat,38.0,0.707,0.611,7.0,-7.058,0,0.032,0.473,4.43e-06,0.0729,0.884,134.933,397707.0,4,2
132,Jealous of the Birds,Young Neanderthal,34.0,0.549,0.867,2.0,-4.666,1,0.0371,0.0108,4.46e-06,0.171,0.486,110.032,186760.0,4,6
133,Scott Stevens,Neon On Ya,48.0,0.698,0.553,1.0,-7.615,1,0.0583,0.02,0.00174,0.0837,0.519,117.015,217489.0,4,10
134,Sepultura,Tainted Love,44.0,0.532,0.953,6.0,-4.09,1,0.102,0.000113,3.49e-05,0.118,0.416,137.036,182188.0,4,8
135,Jagwar Twin,Happy Face,64.0,0.396,0.77,9.0,-4.728,1,0.06,0.0184,,0.12,0.412,177.542,170733.0,4,10
136,Jebediah,Leaving Home,51.0,0.522,0.812,6.0,-6.606,1,0.0346,0.0253,2.87e-05,0.131,0.459,121.529,181333.0,4,10
137,You Am I,Berlin Chair,47.0,0.271,0.882,7.0,-8.483,1,0.06,0.0404,0.00201,0.0826,0.423,142.92,154667.0,4,10
138,"Rajery, Ballaké Sissoko, Driss El Maloumi",Kadiatou,25.0,0.389,0.236,5.0,-11.633,1,0.0388,0.803,0.74,0.11,0.139,137.499,4.537783333,4,7
139,Apoorva Krishna,Blossom,14.0,0.309,0.307,8.0,-9.591,1,0.0335,0.869,0.808,0.345,0.0392,103.553,358000.0,4,6
140,Laura Cannell,Earthly Unearthly,14.0,0.172,0.0494,10.0,-21.748,1,0.0387,0.866,0.155,0.0791,0.0391,51.134,278698.0,4,6
141,Argonaut & Wasp,Dog Days,42.0,0.78,0.653,2.0,-7.085,1,0.0311,0.42,0.0316,0.0997,0.527,116.008,215293.0,4,6
142,NEEDTOBREATHE,Brother - Acoustic,48.0,0.386,0.561,9.0,-5.879,1,0.0324,0.806,,0.11,0.416,78.884,3.60618333,4,0
143,Big Thief,Shark Smile - Edit,59.0,0.688,0.737,6.0,-9.31,0,0.0678,0.0769,0.641,0.114,0.666,131.042,194760.0,4,6
144,Dudu Faruk,◊ì◊ï◊ì ◊î◊û◊ú◊ö (◊¢◊®◊ß ◊¢◊®◊ß ◊¢◊®◊ß),32.0,0.742,0.403,9.0,-12.167,1,0.257,0.0103,0.0108,0.136,0.485,177.072,187636.0,4,9
145,Saosin,It's Far Better To Learn,48.0,0.32,0.94,2.0,-4.823,0,0.0866,0.000402,0.14,0.235,0.0724,182.189,234547.0,4,10
146,Keb' Mo',Am I Wrong,52.0,0.882,0.476,,-9.235,1,0.0528,0.458,2.47e-06,0.0445,0.964,112.65,138533.0,4,2
147,The Felice Brothers,Plunder,36.0,0.383,0.828,,-6.322,1,0.0359,0.033,3.05e-05,0.35,0.845,135.067,221907.0,4,10
148,Moshe Peretz,◊©◊™◊ô◊ô◊ù ◊ë◊ú◊ô◊ú◊î,23.0,0.45,0.722,,-5.143,1,0.0345,0.342,,0.114,0.373,159.947,273453.0,4,9
149,Lucky Kilimanjaro,KIDS,46.0,0.837,0.767,11.0,-6.086,1,0.167,0.515,,0.278,0.756,115.963,158077.0,4,9
150,Little Walter,My Babe,56.0,0.676,0.334,5.0,-10.572,1,0.0508,0.862,,0.32,0.867,158.0,162040.0,4,2
151,The 1975,Love It If We Made It,70.0,0.472,0.745,4.0,-5.297,1,0.0356,0.000607,2.74e-05,0.0957,0.0631,180.06,252926.0,4,9
152,Logic1000,Like My Way,47.0,0.803,0.581,9.0,-8.054,1,0.17,0.0258,0.84,0.0768,0.163,125.007,253440.0,4,1
153,KRS-One,Step into a World (Rapture's Delight),59.0,0.803,0.806,,-7.805,1,0.265,0.00761,0.00544,0.101,0.624,94.994,289907.0,4,5
154,Watain,Black Flames March,33.0,0.263,0.892,4.0,-7.704,1,0.0597,1.52e-05,0.783,0.129,0.141,113.98,380773.0,4,8
155,The Tracks,Strange Moments,22.0,0.329,0.905,7.0,-5.728,1,0.0546,8.63e-05,0.0037,0.11,0.711,145.149,183560.0,4,1
156,Figueroa,Back to the Stars,35.0,0.417,0.569,4.0,-7.56,1,0.0303,0.000302,0.606,0.104,0.0352,140.02,366957.0,4,6
157,Freeds,Fruit Bats,42.0,0.897,0.466,10.0,-10.18,1,0.0478,0.556,0.000165,0.119,0.522,104.944,175313.0,4,6
158,Jungle,Keep Moving - The Blessed Madonna remix / Edit,54.0,0.713,0.735,10.0,-5.502,0,0.051,0.000879,0.535,0.235,0.501,125.995,257263.0,4,1
159,iogi,oh yes,34.0,0.654,0.843,1.0,-7.264,0,0.0286,0.0392,0.0457,0.17,0.97,145.026,240661.0,4,6
160,Apate,Under My Skin,24.0,0.384,0.995,,-1.549,1,0.272,0.000519,0.0187,0.787,0.209,159.957,159373.0,4,8
161,Spank Rock,Bump - Switch Remix,16.0,0.777,0.693,1.0,-10.473,1,0.439,0.246,0.0139,0.249,0.485,126.005,447000.0,4,1
162,Creeper,All My Friends,36.0,0.438,0.263,9.0,-9.017,1,0.0346,0.924,,0.101,0.452,82.449,168482.0,4,10
163,D√©luge,Digue,21.0,0.272,0.947,5.0,-5.327,1,0.121,0.00122,0.288,0.769,0.0577,179.935,362653.0,3,8
164,Born Ruffians,I Fall in Love Every Night,43.0,0.314,0.592,9.0,-9.297,1,0.0409,0.00472,,0.268,0.282,80.458,243760.0,4,6
165,Sheryl Crow,Home,38.0,0.485,0.409,,-13.92,1,0.0278,0.245,0.251,0.0887,0.301,166.177,290733.0,4,10
166,Big Jesus,Lock & Key,19.0,0.388,0.826,,-3.803,1,0.0439,2.65e-05,0.286,0.126,0.356,82.013,236676.0,4,10
167,Sentenced,Noose,45.0,0.53,0.893,7.0,-5.426,0,0.0704,0.00027,0.37,0.095,0.585,135.076,241267.0,4,8
168,"Luiz Bonfá, Panos Megarchiotis",Passeio No Rio - Arranged by Carlos Barbosa-Lima,40.0,0.571,0.158,2.0,-16.835,1,0.0779,0.964,0.919,0.108,0.308,114.315,3.068233333,4,7
169,Redlight,Every,,0.601,0.937,8.0,-4.314,0,0.0495,0.00349,0.908,0.0509,0.755,126.013,217143.0,4,1
170,JUMBO,Chump,25.0,0.381,0.597,2.0,-8.669,1,0.0313,0.521,0.000247,0.203,0.463,174.108,274764.0,4,6
171,Janiva Magness,Whoop And Holler,12.0,0.636,0.918,9.0,-6.294,1,0.0559,0.531,9.85e-06,0.328,0.46,96.991,156773.0,4,2
172,John Lee Hooker,Moon Is Rising,35.0,0.654,0.159,5.0,-15.9,1,0.0698,0.979,0.00706,0.0911,0.322,129.481,169600.0,4,2
173,Kishore Kumar,Tere Jaisa Yaar Kahan - Yaarana / Soundtrack Version,44.0,0.372,0.595,7.0,-11.152,1,0.0747,0.863,0.00221,0.31,0.393,104.427,4.646216667,4,3
174,Kianja,Place for Me,39.0,0.719,0.292,8.0,-8.47,0,0.0364,0.774,,0.327,0.452,85.986,208736.0,4,9
175,Anti-Flag,Hate Conquers All,44.0,0.582,0.945,11.0,-5.95,0,0.089,0.00016,,0.668,0.389,123.041,166893.0,4,10
